urls,products,most_similar_urls
https://dhfonline.com/products/gift-card,"[' Driftwood Guitar with Strings', ' Encouragement Matches', ' Dearly Beloved Notepad - Prince', ' 50 Gathered Thoughts On Paper', ' Sm Heart Decoupage Plates']","['https://www.cranmorehome.com.au/products/gift-card', 'https://livingbydesign.net.au/products/sorensen-teak-bench-seat-dining', 'https://home-evolution.com/products/one-storys-not-enough/']"
https://furnish123watertown.com/products/,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://www.tandemarbor.com/products/kaiser-box-bed-blush-plush-velvet,[' Kaiser Box Bed'],"['https://vastinterior.com.au/products/samson-daybed-single-2', 'https://choufani.com/products/primavera-bed', 'https://adona.in/products/adona-adonica-fusion-king-bed-plywood']"
https://www.perchfurniture.com/products/hoyt-chair,"[' Hoyt Modern Armchair', ' Hoyt Chair', ' Hoyt Sofa', ' Hoyt Sofa Chaise', ' Hoyt Sectional', ' Lowe Chair', ' Charlie Chair', ' Hawthorne Chair', ' Lawson Chair', ' Charlie Sectional']","['https://www.couchpotatocompany.com/collections/best-sellers/products/ro-armchair', 'https://floydhome.com/products/the-floyd-hat', 'https://taktcph.com/products/']"
http://www.vawayside.net/store/products/tag/beds,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://curiousgrace.com.au/products/cleo-desk-lamp,['URL not responding'],"['https://www.jaimesfurniture.com/products/junior-beds-1', 'https://mulamu.com/products/membership', 'https://allstatefurniturenj.com/products/bayonne-bedroom-collection']"
https://modshop1.com/collections/amalfi/products/amalfi-3-door-credenza,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://www.scandesign.com/products/pavia-sectional-ivory,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://www.sofamania.com/products/carl-victorian-inspired-velvet-button-detail-vanity-accent-stool,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://www.fentonandfenton.com.au/products/gift-card&media=http://cdn.shopify.com/s/files/1/1909/9637/products/GiftVouchers_Product_1024x1024.jpg&description=Gift%20Card%20%23Art-Lover%20%23Birthday%20%23Colour-Lover,"[' Mediterraneo', ' Roommate Sofa', ' Kaleidoscope by Berny Bacic', ' Retro Futurism By Dave Kulesza']","['https://medleyhome.com/products/ridge-accent-chair', 'https://www.stacksfurniture.co.nz/products/rapaki3seatsofa-fog', 'https://viesso.com/products/haru-bed']"
https://4-chairs.com/products/mason-chair,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://www.theinside.com/products/x-bench-onyx-austin-stripe-by-old-world-weavers/PTM_XBench_OnyxAustinStripeByOldWorldWeavers,[' 100+ Fabrics'],"['https://sarahellison.com.au/collections/all/products/muse', 'https://donar.si/products/collodi', 'https://www.classic2modern.com/products/100-sofa']"
https://stationfurniture.store/products/milano,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://pinchdesign.com/products/yves-desk,"[' PINCH', ' Yves desk', ' Avery dining chair', ' Avery dining chair upholstered', ' Garagh sofa']","['https://eurolivingfurniture.com/products/746-writing-desk', 'https://ifortifi.ca/products/pl103', 'https://interiorsonline.com.au/products/interiors-online-gift-card']"
https://www.do-shop.com/products/gift-card,"[' White Chocolate Donut Necklace', ' Layers Wallpaper by Overlap One Another - Geometrics', ' Vachette Key Vase', ' Atelier Polyhedre', ' Weave Wallpaper by Femke Hofhuis - Geometrics', ' Welcome Collection - Hooks, Shelf and Mirror', ' Cats & Cords Wallpaper by Erik Van Der Veen - Geometrics', ' NLXL']","['https://ingoodcompany.com.au/collections/new-arrivals/products/kuru-bowl-ceramic-37cm-grey', 'https://modernkomfort.ca/products/glen', 'https://www.finnavenue.com/products/carrara-round-dining-table']"
https://claytongrayhome.com/products/palecek-coco-ruffle-mirror,"[' Palecek Coco Ruffle Mirror', ' Coco Ruffle Mirror']","['https://modernkomfort.ca/products/glen', 'https://www.modishstore.com/products/twos-company-sunburst-antiqued-gold-wall-mirror', 'https://home-evolution.com/products/one-storys-not-enough/']"
https://dfohome.com/products/patio-furniture/swings/all-swings,"[' Deluxe Polyester Rope Swing Chair - Antique Brown by Castaway Living', ' Deluxe Cotton Rope Swing Chair by Castaway Living', ' Deluxe Polyester Rope Swing Chair - Green by Castaway Living', ' Deluxe Polyester Rope Swing Chair - Navy by Castaway Living', ' Deluxe Polyester Rope Swing Chair - Oatmeal by Castaway Living', ' Deluxe Pillowtop Swing With Quick Dry Fabric - Yellow Multicolor Stripe by Castaway Living', ' Double Duracord Rope Curved Arm Swing - Green by Pawleys Island', ' Double Duracord Rope Curved Arm Swing - Antique Brown by Pawleys Island', ' Double Duracord Rope Curved Arm Swing - Oatmeal by Pawleys Island', ' Double Duracord Rope Curved Arm Swing - White by Pawleys Island', ' Bent Oak Double DURACORD® Rope Swing - Green by Pawleys Island', ' Bent Oak Double DURACORD® Rope Swing - Antique Brown by Pawleys Island', ' DURACORD® Curved Arm Double Rope Swing - Oatmeal by Pawleys Island', ' Bent Oak Double DURACORD® Rope Swing - White by Pawleys Island', ' Sunbrella Cushioned Single Swing - Expand Dove by Pawleys Island', ' DURAWOOD® Poly Porch Swing by Pawleys Island', ' Deluxe Sunbrella Cushion Swing - Midori Indigo by Hatteras Hammocks', "" Children's South American Fabric Swing - Green by Castaway Living"", ' Deluxe Pillowtop Swing With Quick Dry Fabric - Tropical Print by Castaway Living', ' Single Cushioned Swing - Fruit Punch by Castaway Living', ' Single Cushioned Swing - Blue and Green Stripe by Castaway Living', ' Single Cushioned Swing - Gray and Black Stripe by Castaway Living', ' Single Cotton Rope Swing by Pawleys Island', ' DURACORD® Single Rope Swing - Green by Pawleys Island', ' DURACORD® Single Rope Swing - Antique Brown by Pawleys Island', ' DURACORD® Single Rope Swing - Oatmeal by Pawleys Island', ' DURACORD® Single Rope Swing - White by Pawleys Island', ' Sunbrella Cushioned Single Swing - Trusted Coast by Pawleys Island', ' Sunbrella Cushioned Single Swing - Expand Citronelle by Pawleys Island', ' Sunbrella Cushioned Single Swing - Cove Pebble by Pawleys Island', ' Tufted Sunbrella Cushioned Single Swing - Trusted Coast by Pawleys Island', ' Tufted Sunbrella Cushioned Single Swing - Cove Pebble by Pawleys Island', ' Tufted Sunbrella Single Swing - Integrated Pewter by Hatteras Hammocks', ' Tufted Sunbrella Single Swing - Luxe Indigo by Hatteras Hammocks', ' Tufted Single Swing - Echo Sangria by Hatteras Hammocks', ' Tufted Sunbrella Single Swing - Cast Ash by Hatteras Hammocks', ' Tufted Sunbrella Single Swing - Cast Slate by Hatteras Hammocks', ' Tufted Sunbrella Single Swing - Canvas Cocoa by Hatteras Hammocks', ' Premium Sunbrella Tufted Single Swing - Scale Taupe by Hatteras Hammocks', ' Tufted Sunbrella Single Swing - Resonate Atlantis by Hatteras Hammocks', ' DURAWOOD® Poly Cedar Coastal DURACORD® Double Swing by Pawleys Island', ' DURAWOOD® Poly White Coastal DURACORD® Rope Double Swing by Pawleys Island', ' DURAWOOD® Poly Weatherwood Coastal DURACORD® Rope Double Swing by Pawleys Island', ' Deluxe Sunbrella Cushion Swing - Gateway Mist by Hatteras Hammocks', ' Deluxe Premium Sunbrella Cushion Swing - Midori Stone by Hatteras Hammocks', ' Deluxe Sunbrella Cushion Swing - Gateway Indigo by Hatteras Hammocks', ' Deluxe Sunbrella Cushion Swing - Cast Ash by Hatteras Hammocks', ' Deluxe Sunbrella Cushion Swing - Cast Slate by Hatteras Hammocks']","['https://pepegarden.co.uk/products/erica-park-bench', 'https://americanbackyard.com/products/gift-card', 'https://mossgardenhome.com/products/woodland-puzzle']"
https://acmeshelving.com/collections/signs/products/sale,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://www.kmpfurniture.com/fire_collection/products/beds_80.html,['URL not responding'],"['https://sghomefurnishing.com/collections/study-room/products/alvise-working-desk', 'https://www.search4furniture.com/products/ritz-bed', 'https://windsorbedding.co.uk/products/']"
https://www.jseitz.com/products/buddha,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://www.furnitureworldgalleries.com/products/,"[' Pasaran Togel Super Lengkap', ' Seo LS']","['http://oot-oot.com/products/', 'https://sakhome.co.uk/collections/best-sellers-1/products/bibi-candle-holder-rouge', 'https://jeffjonesfurniture.net/products/Ashley-Furniture/ashley/b69746.html']"
https://www.homekoncepts.com/products/furniture/tables/end-tables/,['URL cannot be reached'],"['https://all3loops.com/products/personalized-coozies', 'https://zulufurniture.com/products/posh', 'https://calligarisla.com/products/living/sofas/metro/minimal-and-contemporary-modular-sofa']"
https://cityfurnitureshop.com/collections/greenington/products/azara-bed,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://www.theguestroomfurniture.com/products/,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://www.danishinspirations.com/products/products/bedroom/page/3/,"[' MARCO King Bed', ' MARCO Queen Bed', ' MARCO Right Nightstand', ' MARINI Double Dresser', ' MARINI High Chest', ' MARINI King Bed', ' MARINI Mirror', ' MARINI Nightstand', ' MARINI Queen Bed', ' MARTI Double Dresser Grey', ' MARTI Double Dresser Walnut', ' Marti High Chest Grey', ' MARTI High Chest Walnut', ' MARTI King Bed Grey', ' MARTI King Bed Walnut', ' Marti Nightstand Grey']","['https://www.furnitureworldsaskatoon.com/products/', 'https://finditstyleithome.com.au/products/dahlia-mirror-gold-1', 'https://www.novena.com.sg/collections/stayhome-collection-for-immediate-delivery/products/altas-dining-set-solid-wood']"
https://columbineshowroom.com/products/,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://emfurn.com/products/aaron-sofa,"[' King Size Queen Size Twin Size', ' King', ' Size']","['https://www.nabisottomanfurniture.co.uk/products/chesterfield-diamante-bed-frame', 'https://www.factorybuys.com.au/products/euro-top-mattress-king', 'https://www.danishinspirations.com/products/products/bedroom/page/3/']"
https://fmvegas.com/products/carlo-dresser,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://nicoyafurniture.com.au/products/playa-bowl,['URL cannot be reached'],"['https://divine-interiors.co.uk/products/sofa-deposit', 'https://zulufurniture.com/products/posh', 'https://calligarisla.com/products/living/sofas/metro/minimal-and-contemporary-modular-sofa']"
https://galvinbrothers.co.uk/products/alfandbud,"[' Alf & Bud Side Tables', "" Cutler's Stool"", ' (Completely) Imperfect Side Table', ' Bobbin Side Table', ' Polygon Pedestal Lamp Table', ' Polygon Pedestal Side Table', ' Fluted Sideboard', ' Bridle Mirror (Round)', ' Furniture Care Kit', ' (Perfectly) Imperfect Stool', ' Furn']","['https://sika-design.com/products/belladonna-nature', 'https://gingerjarfurniture.com/products/page/3/', 'https://livingedge.com.au/products/tables/dining']"
https://tyfinefurniture.com/products/enso-platform-bed,"[' Enso Platform Bed - Solid Wood - Handmade in Columbus, Ohio', ' Enso Platform Bed Frame and Headboard - Solid Wood Modern Bed Frame', ' Enso Platform Bed', ' Platform Bed', ' Enso', ' Apollo Platform Bed - Solid Wood Modern Bed Frame', ' Apollo Platform Bed', ' Apollo Platform Bed with Integrated Tables - Solid Wood Bed Frame', ' Apollo Solid Wood Platform', ' Custom Cantilever Console Table - Solid Wood & Handmade', ' Custom Curly Walnut Platform Bed', ' Essentials Storage Platform Bed - Solid Wood Bed Crafted in Columbus, Ohio', ' Horizon Platform Bed - Modern Platform Bed', ' Horizon Platform Bed', ' Modern ""ONE"" Platform Bed - Handmade Modern Platform Bed Frame', ' Modern ""TWO"" Platform Bed: Handmade Mid Century Modern Bed, Solid Wood with Organic Finish', ' ��TWO�� Platform Bed']","['https://www.eurohausfurniture.com/products/novaluna-parigi-platform-bed', 'https://adona.in/products/adona-adonica-fusion-king-bed-plywood', 'https://choufani.com/products/primavera-bed']"
https://24estyle.com/products/eliza-fan,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://shopspencerfurnituresiouxfalls.com/products/glass-lamp,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://bryantscountrystore.com/products/deli-sandwich-carryout,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://vincentdesign.com.au/products/spaltekanden-big-white,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://magnolialane.biz/products/anika-cushion,['No products found'],"['https://www.theimporter.co.nz/products/bookshelf-rosewood', 'https://www.elementsconcept.com.sg/collections/lighting/products/light-shade', 'https://singaporetradingpost.com/products/decorative-white-carved-console']"
https://blupeter.com.au/products/tulip-object,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://www.cranmorehome.com.au/products/gift-card,"[' BUFFET | Rattan Curved 4 or 6 door...', ' STORAGE | Twinny in Sage by Mustard...', ' DRAWERS | Hamptons 5 drawers...', ' CONSOLE | The Lowdown in blush by...', ' ART PRINT | Ocean Pandanus Portrait...', ' CONSOLE | The Lowdown in slate by...', ' ENTERTAINMENT UNIT | The Standard...', ' OUTDOOR DINING TABLE | Round Suzie...', ' ENTERTAINMENT UNIT | Hampton weathered oak by Cranmore Home & Co.', ' DRAWERS | Rattan (5 or 8 Drawers) by Cranmore Home & Co.', ' OCCASIONAL CHAIR | Coastal Single Seater by Cranmore Home & Co.', ' SOFA | Coastal Three Seater by Cranmore Home & Co.', ' CUSHION COVER | Ankara Riviera Linen by Walter G', ' CUSHION COVER | Haveli Riviera Linen by Walter G', ' DOOR MAT | Jasi Jute Braided by Maine & Crawford', ' STORAGE | Twinny in Olive by Mustard Made', ' Av', ' PENDANT | lili tall by uniqwa', ' BATH TOWEL | Tweed Marine by L & M Home', ' COFFEE TABLE | Clifton by uniqwa']","['https://finditstyleithome.com.au/products/dahlia-mirror-gold-1', 'https://eurolivingfurniture.com/products/746-writing-desk', 'https://interiorsonline.com.au/products/interiors-online-gift-card']"
https://www.vavoom.com.au/products/ebony-chest,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://www.goodwoodfurniture.com.au/products/wardrobes/colonial-robe/,"[' Colonial Robe', ' Colonial Wardrobe Se...', ' Colonial Robe...', ' Colonial 3 Door Robe...']","['https://boahaus.com/products/boahaus-urban-dressing-table', 'https://www.cranmorehome.com.au/products/gift-card', 'https://www.blockandchisel.co.za/products/special-features/promotion-53']"
https://valentinesfurniture.com.au/products/,['No products found'],"['https://signaturefinefurniture.ca/products/jacobson-bed', 'https://superdealfurnituregallery.com/products/tristan-5-piece-kitchen-set', 'https://thedesigndepot.co.nz/products/']"
https://www.loungesplus.com.au/products/baird-fabric-lounge-package,"[' 4.5 Seater Corner Chaise with End Electric Recliner', ' Barcelona 4.5 Seater Corner Chaise with End Electric Recliner', ' 6 Seater Corner with End Recliners and Console', ' Cambridge 6 Seater Corner with End Recliners and Console', ' 3+2 Seater Package', ' Austin 3+2 Seater Package', ' 3 Seater', ' Austin 3 Seater', ' 2 Seater', ' Austin 2 Seater', ' 3 Seater with End Recliners + 2 Single Recliners', ' Boston 3 Seater with End Recliners + 2 Single Recliners', ' 4 Seater with End Recliners', ' Boston 4 Seater with End Recliners', ' 3 Seater with End Recliners', ' Boston 3 Seater with End Recliners', ' 2 Seater with End Recliners', ' Boston 2 Seater with End Recliners', ' Boston Recliner', ' 5.5 Seater Corner with Console and 3 Internal Recliners', ' Jenson 5.5 Seater Corner with Console and 3 Internal Recliners', ' 3 Seater with End Recliners + 2 Recliners', ' Rancher 3 Seater with End Recliners + 2 Recliners', ' Rancher 3 Seater with End Recliners', ' Rancher Recliner', ' 4.5 Seater Corner Chaise', ' Nora 4.5 Seater Corner Chaise', ' 2.5 Seater Lounge', ' Nora 2.5 Seater Lounge', ' 2 Seater Lounge', ' Nora 2 Seater Lounge', ' 3 Seater with End Electric Recliners + 2 Single Electric Recliners', ' Captain 3 Seater with End Electric Recliners + 2 Single Electric Recliners', ' 3 Seater with End Electric Recliners and Drop-Down Tray', ' Captain 3 Seater with End Electric Recliners and Drop-Down Tray', ' 2 Seater with End Electric Recliners & Console', ' Captain 2 Seater with End Electric Recliners & Console', ' 5.5 Seater Corner with End Electric Recliners', ' Como 5.5 Seater Corner with End Electric Recliners', ' Como 4.5 Seater Corner Chaise with End Electric Recliner', ' 2.5 Seater with End Electric Recliners + 2 Seater with End Electric Recliners Package', ' Como 2.5 Seater with End Electric Recliners + 2 Seater with End Electric Recliners Package', ' 2.5 Seater with End Electric Recliners', ' Como 2.5 Seater with End Electric Recliners', ' 2 Seater with End Electric Recliners', ' Como 2 Seater with End Electric Recliners', ' 5 Seater Corner with Storage Chaise', ' Hayman 5 Seater Corner with Storage Chaise', ' 6 Seater Corner Modular with 5 Recliners and 2 Consoles', ' Harmony 6 Seater Corner Modular with 5 Recliners and 2 Consoles']","['https://www.sunshinefurniture.com.au/products/albert-sofa', 'https://modernhomefurniture.com.au/products/albert-sofa', 'https://mossgardenhome.com/products/woodland-puzzle']"
https://www.yellowleafhammocks.com/products/hammock-gift-card,"[' The Hammock Throne™', ' The Portable VISTA™', ' Portable VISTA™', ' Hammock Throne™', ' VISTA™ Portable Stand', ' Portable VISTA™ + Hammock', ' Vineyard Haven', ' The VISTA™', ' St. Lucia', ' Wellfleet', ' Mojave']","['https://floydhome.com/products/the-floyd-hat', 'https://www.simplyhammocks.co.uk/collections/new-products/products/denim-hammock', 'https://americanbackyard.com/products/gift-card']"
https://asplundstore.se/products/fish-bricka,[' Fish bricka vit'],"['http://oot-oot.com/products/', 'https://furnitica-vinova.myshopify.com/products/enim-donec-pede', 'https://vauntdesign.com/products/forna-plant-stand-small']"
